"Rank","Country","Safety Index"
"1","Qatar","86.22"
"2","United Arab Emirates","84.86"
"3","Taiwan","84.13"
"4","Isle Of Man","81.37"
"5","Oman","80.01"
"6","Switzerland","78.32"
"7","Hong Kong","78.08"
"8","Japan","77.88"
"9","Armenia","77.87"
"10","Slovenia","77.35"
"11","Iceland","76.47"
"12","Estonia","76.18"
"13","Croatia","75.87"
"14","Georgia","75.70"
"15","Rwanda","75.65"
"16","Bahrain","75.59"
"17","Saudi Arabia","75.28"
"18","Monaco","74.92"
"19","Czech Republic","74.46"
"20","Austria","73.92"
"21","South Korea","73.51"
"22","Denmark","73.44"
"23","Finland","72.75"
"24","Singapore","72.36"
"25","Netherlands","72.12"
"26","Romania","71.21"
"27","Brunei","71.00"
"28","China","70.61"
"29","Poland","70.21"
"30","Slovakia","69.82"
"31","Portugal","69.42"
"32","Cuba","69.06"
"33","Israel","67.88"
"34","Cyprus","67.88"
"35","Azerbaijan","67.75"
"36","Lithuania","66.72"
"37","Kuwait","66.59"
"38","Uzbekistan","66.24"
"39","Norway","66.15"
"40","Spain","66.13"
"41","Hungary","65.71"
"42","Luxembourg","64.29"
"43","Germany","63.63"
"44","Nepal","62.46"
"45","Serbia","61.71"
"46","Latvia","61.35"
"47","Bulgaria","61.26"
"48","Thailand","60.69"
"49","Russia","60.38"
"50","Turkey","60.31"
"51","Jordan","59.76"
"52","Malta","59.18"
"53","North Macedonia","59.13"
"54","Montenegro","58.90"
"55","Sri Lanka","58.79"
"56","Pakistan","57.99"
"57","Bosnia And Herzegovina","57.77"
"58","Kosovo (Disputed Territory)","57.71"
"59","Philippines","57.67"
"60","Canada","57.05"
"61","Palestine","56.77"
"62","New Zealand","56.70"
"63","Australia","56.15"
"64","Panama","56.08"
"65","Tunisia","55.71"
"66","Sudan","55.43"
"67","India","55.37"
"68","Italy","54.80"
"69","Belgium","54.62"
"70","Ireland","54.52"
"71","Vietnam","54.19"
"72","Albania","53.92"
"73","Indonesia","53.88"
"74","Zambia","53.72"
"75","United Kingdom","53.53"
"76","Myanmar","53.49"
"77","Egypt","53.43"
"78","Barbados","53.43"
"79","Ghana","53.19"
"80","Lebanon","53.13"
"81","Ukraine","53.06"
"82","Iraq","53.05"
"83","Greece","52.59"
"84","Moldova","52.56"
"85","Nicaragua","52.11"
"86","United States","51.84"
"87","Mauritius","51.10"
"88","Sweden","51.00"
"89","Morocco","50.93"
"90","Iran","50.89"
"91","Paraguay","50.80"
"92","Ethiopia","49.91"
"93","Cambodia","49.26"
"94","Uruguay","48.56"
"95","Belize","48.49"
"96","Botswana","47.63"
"97","France","47.59"
"98","Kazakhstan","46.55"
"99","Mexico","46.32"
"100","Mongolia","46.27"
"101","Algeria","46.18"
"102","Costa Rica","46.14"
"103","Chile","46.02"
"104","Maldives","45.28"
"105","Fiji","44.37"
"106","Malaysia","44.29"
"107","Kenya","43.79"
"108","Uganda","43.76"
"109","Tanzania","43.70"
"110","Kyrgyzstan","43.41"
"111","Ecuador","42.76"
"112","Colombia","42.29"
"113","Somalia","42.05"
"114","Guatemala","41.74"
"115","Bolivia","41.72"
"116","Belarus","41.59"
"117","Zimbabwe","40.33"
"118","Libya","39.72"
"119","North Korea","39.72"
"120","Us Virgin Islands","39.06"
"121","Dominican Republic","39.06"
"122","Puerto Rico","37.80"
"123","Bahamas","37.52"
"124","Mozambique","37.20"
"125","Bangladesh","36.55"
"126","Nigeria","36.16"
"127","Argentina","35.86"
"128","Namibia","35.30"
"129","Angola","33.61"
"130","Cameroon","33.41"
"131","Brazil","32.99"
"132","Peru","32.90"
"133","Syria","32.52"
"134","Jamaica","32.16"
"135","El Salvador","31.35"
"136","Guyana","31.07"
"137","Trinidad And Tobago","28.61"
"138","Honduras","25.84"
"139","South Africa","23.94"
"140","Afghanistan","22.99"
"141","Papua New Guinea","18.81"
"142","Venezuela","16.42"