"","date","location","new_cases_smoothed_per_million","new_deaths_smoothed_per_million","stringency_index","dtw_hclust","covid_risk","covid_risk_std","covid_risk_class","travel_restrictions"
"1",2022-05-12,"Argentina",-0.143247440469343,-0.243276716206653,-0.6668,"1",0.107259502701615,-0.48002566020334,"Low","Medium"
"2",2022-05-12,"Australia",6.55365044671958,0.191967445152159,-0.5368,"2",2.34839739985048,3.01362716877121,"High","Medium"
"3",2022-05-12,"Austria",1.75057517542851,-0.109518754423213,-0.7408,"3",0.783322867177461,0.573872312282825,"High","Medium"
"4",2022-05-12,"Bahrain",1.21174316499866,-0.269815994338287,-1.5556,"3",0.843178534667936,0.667179788955406,"High","Low"
"5",2022-05-12,"Bangladesh",-0.354566892902335,-0.327494692144374,-0.8888,"2",0.0895453458636094,-0.50763980845755,"Low","Medium"
"6",2022-05-12,"Belarus",-0.261917634878638,-0.247169143665959,-1.5924,"4",0.391960539429069,-0.0362124599356406,"Medium","Low"
"7",2022-05-12,"Belgium",0.966239119598144,-0.0624557678697806,-1.3332,"3",0.755206114874378,0.530041822713125,"High","Low"
"8",2022-05-12,"Brazil",-0.0609551746616051,-0.151981599433829,0.5372,"1",-0.257679583704877,-1.04891991398818,"Low","High"
"9",2022-05-12,"Bulgaria",-0.176883699528356,0.185598018400566,-1.7036,"5",0.600904562223113,0.289505059392553,"High","Low"
"10",2022-05-12,"Canada",0.131747766402086,0.331033262561925,-0.5556,"1",0.345860261894103,-0.108077009293109,"Medium","Medium"
"11",2022-05-12,"Chile",0.260805629050194,-0.109164897381458,-1.1668,"1",0.455813385160181,0.0633261161646391,"Medium","Medium"
"12",2022-05-12,"China",-0.331164921967867,-0.325725406935598,0.9076,"2",-0.531122159318465,-1.47518258576301,"Low","High"
"13",2022-05-12,"Colombia",-0.337346140572875,-0.315817409766454,-1.148,"1",0.18962948979375,-0.351621183712565,"Medium","Medium"
"14",2022-05-12,"Costa Rica",0.59070324782392,-0.101380042462845,-1.8148,"1",0.790749625290915,0.585449696488494,"High","Low"
"15",2022-05-12,"Croatia",0.196792438360367,0.254600141542817,-1.074,"5",0.522891626984447,0.167892680145427,"Medium","Medium"
"16",2022-05-12,"Cyprus",1.75034127075425,0.349433828733192,-0.3704,"3",0.805062370123312,0.607761470136028,"High","High"
"17",2022-05-12,"Czechia",-0.155640553702212,-0.153043170559094,-1.6668,"6",0.483070776530791,0.105816969848183,"Medium","Low"
"18",2022-05-12,"Denmark",0.168528317803597,0.133227176220807,-1.8148,"3",0.733074029850017,0.495540678649285,"High","Low"
"19",2022-05-12,"Ecuador",-0.339274895509797,-0.316171266808209,0.3704,"2",-0.342544484609844,-1.18121364812407,"Low","High"
"20",2022-05-12,"Egypt",-0.355199585873691,-0.314048124557679,-0.6296,"4",0.00306025141638469,-0.642459221071145,"Low","Medium"
"21",2022-05-12,"Estonia",0.259889182867441,-0.0224699221514508,-1.2964,"6",0.529489464207602,0.178177880671961,"Medium","Medium"
"22",2022-05-12,"Finland",1.32053568004908,0.893312101910828,-1.1852,"4",1.13218441124628,1.11770369450477,"High","Medium"
"23",2022-05-12,"France",1.65775336477626,0.168259023354565,-1.3332,"3",1.05262655443541,0.993682976338322,"High","Low"
"24",2022-05-12,"Germany",2.56083247057019,0.280431705590941,-1.0368,"3",1.27488885342747,1.34016201747,"High","Medium"
"25",2022-05-12,"Ghana",-0.354198780628092,-0.327494692144374,-0.5184,"4",-0.0399768582086327,-0.709548675934057,"Low","Medium"
"26",2022-05-12,"Greece",1.3264944974884,0.530254777070064,0.1852,"1",0.534642315629409,0.186210529608907,"Medium","High"
"27",2022-05-12,"Hong Kong",-0.213917328118409,-0.173566878980892,0,"2",-0.125730615061585,-0.843228024985113,"Low","High"
"28",2022-05-12,"Hungary",0.0284846044710304,0.0766100495399858,-1.8148,"5",0.669576389778925,0.396555823612119,"High","Low"
"29",2022-05-12,"India",-0.346821197131792,-0.320771408351026,-0.2408,"2",-0.132557347838012,-0.853870044964053,"Low","High"
"30",2022-05-12,"Indonesia",-0.350966294719889,-0.309447983014862,-0.2592,"2",-0.123707048705269,-0.84007353889376,"Low","High"
"31",2022-05-12,"Iran",-0.335958050538748,-0.294232130219391,0.4444,"1",-0.360143179144798,-1.20864780513267,"Low","High"
"32",2022-05-12,"Iraq",-0.345022815291997,-0.322540693559802,-1,"2",0.133154270231826,-0.439658966144642,"Medium","Medium"
"33",2022-05-12,"Ireland",0.886715364852947,0.362526539278132,-1.8148,"3",1.03856267471473,0.971759152179609,"High","Low"
"34",2022-05-12,"Israel",0.550701714022777,-0.283970276008493,-1.5556,"3",0.626974357404486,0.330144599602043,"High","Low"
"35",2022-05-12,"Italy",2.11441581348978,0.339879688605803,-0.7036,"1",1.03503335755665,0.966257389486039,"High","Medium"
"36",2022-05-12,"Japan",0.779107711185245,-0.228414720452937,-0.4444,"4",0.329477609829809,-0.133615508643524,"Medium","High"
"37",2022-05-12,"Jordan",-0.350717052034204,-0.327494692144374,-1.4444,"1",0.285237294941411,-0.202580609568908,"Medium","Low"
"38",2022-05-12,"Kazakhstan",-0.353125119828214,-0.322186836518047,-1.2592,"1",0.221398305604016,-0.302097585289681,"Medium","Medium"
"39",2022-05-12,"Kenya",-0.353865178879558,-0.327494692144374,-0.4816,"4",-0.0527501056491019,-0.729460566278849,"Low","High"
"40",2022-05-12,"Kuwait",-0.271043751677595,-0.327494692144374,-1.2964,"2",0.258932751055526,-0.243586093559305,"Medium","Medium"
"41",2022-05-12,"Latvia",0.154754783542314,0.105626326963907,-1.4072,"6",0.576898218631629,0.252082181349922,"High","Low"
"42",2022-05-12,"Lebanon",-0.312149622301469,-0.260261854210899,-0.4072,"1",-0.0432542910260666,-0.714657782539665,"Low","High"
"43",2022-05-12,"Lithuania",-0.13281375819625,-0.0267162066525124,-1.8148,"6",0.583863249181871,0.262939790208664,"High","Low"
"44",2022-05-12,"Malaysia",-0.0818110356992216,-0.276539278131635,0.278,"1",-0.21473749320719,-0.981978582024545,"Low","High"
"45",2022-05-12,"Mexico",-0.330087426665133,-0.276539278131635,-1.3332,"1",0.269734061683718,-0.22674820532368,"Medium","Low"
"46",2022-05-12,"Netherlands",0.00132482073699145,-0.251061571125265,-1.4816,"3",0.436133624164499,0.0326478376153482,"Medium","Low"
"47",2022-05-12,"New Zealand",5.34599294451474,0.609164897381458,0,"2",1.9117421583806,2.33293642609601,"High","High"
"48",2022-05-12,"Norway",-0.167979983895088,0.181351733899505,-1.8148,"3",0.641272477340408,0.352433574870678,"High","Low"
"49",2022-05-12,"Oman",-0.329611948310901,-0.317940552016985,-0.0367999999999998,"2",-0.197516205625094,-0.955132755109424,"Low","High"
"50",2022-05-12,"Pakistan",-0.353067602285364,-0.326079263977353,0.5556,"4",-0.415047789843843,-1.29423720538175,"Low","High"
"51",2022-05-12,"Peru",-0.314657387169753,-0.184890304317056,0.5556,"1",-0.35616416431895,-1.20244502019001,"Low","High"
"52",2022-05-12,"Philippines",-0.350149545611411,-0.321479122434536,1.7408,"2",-0.827415964999049,-1.93706745850578,"Low","High"
"53",2022-05-12,"Poland",-0.304691514245178,-0.225937721160651,-1.6668,"5",0.411319267458528,-0.00603463150682844,"Medium","Low"
"54",2022-05-12,"Portugal",5.53241496989915,0.403220099079972,-1.8148,"3",2.53861542306412,3.31015320394634,"High","Low"
"55",2022-05-12,"Qatar",-0.183229801756202,-0.327494692144374,-1,"2",0.183293215030372,-0.361498641177542,"Medium","Medium"
"56",2022-05-12,"Romania",-0.236237969247287,-0.182059447983015,-1.8148,"1",0.499504232006473,0.131434665343621,"Medium","Low"
"57",2022-05-12,"Russia",-0.228852716745274,-0.0578556263269639,0.2408,"1",-0.176605226046386,-0.922535161246627,"Low","High"
"58",2022-05-12,"Saudi Arabia",-0.305926224165037,-0.307324840764331,0.778,"2",-0.471613589185041,-1.38241619032641,"Low","High"
"59",2022-05-12,"Serbia",-0.109269910656083,-0.128980891719745,-1.8148,"6",0.557649934322537,0.222076520825902,"Medium","Low"
"60",2022-05-12,"Singapore",2.01951953679205,-0.17002830856334,-0.5924,"3",0.797476909947555,0.595936689324538,"High","Medium"
"61",2022-05-12,"Slovakia",-0.00708424402776179,0.219922151450814,-1.8148,"6",0.705487351889885,0.452536508481962,"High","Low"
"62",2022-05-12,"Slovenia",0.794541585183481,-0.0355626326963907,-1.3704,"6",0.722157638468905,0.478523393956837,"High","Low"
"63",2022-05-12,"South Africa",0.127974615591089,-0.193736730360934,-0.0739999999999998,"1",0.00291875597004001,-0.642679794721271,"Low","High"
"64",2022-05-12,"South Korea",2.44542543809195,0.0667020523708422,-1.5924,"3",1.3618878174718,1.4757824883201,"High","Low"
"65",2022-05-12,"Spain",0.880016488362284,0.164720452937013,-0.3888,"1",0.472043025745145,0.0886260898142013,"Medium","High"
"66",2022-05-12,"Sri Lanka",-0.351913416925496,-0.320417551309271,-0.7408,"4",0.0409299146517819,-0.583425166869048,"Low","Medium"
"67",2022-05-12,"Sweden",-0.257937420913379,0.0355626326963907,-1.8148,"3",0.564375694097528,0.232561136562752,"Medium","Low"
"68",2022-05-12,"Switzerland",0.45741209402201,-0.0143312101910828,-0.222,"3",0.219342570723986,-0.305302218073936,"Medium","High"
"69",2022-05-12,"Taiwan",7.41709229648376,-0.153750884642604,-1.1852,"4",2.73755174294274,3.62026996990435,"High","Medium"
"70",2022-05-12,"Thailand",0.117809348517965,-0.000176928520877546,-0.648,"4",0.264440605113859,-0.235000040047402,"Medium","Medium"
"71",2022-05-12,"Turkey",-0.279629203573757,-0.292462845010616,-1.0368,"1",0.176885916002895,-0.371486816560195,"Medium","Medium"
"72",2022-05-12,"Uganda",-0.354628244948042,-0.326433121019108,-0.9628,"2",0.115776031680321,-0.466749459931437,"Low","Medium"
"73",2022-05-12,"Ukraine",-0.355199585873691,-0.327494692144374,0.7408,"1",-0.481017115887225,-1.39707510877458,"Low","High"
"74",2022-05-12,"United Arab Emirates",-0.256346102227846,-0.327494692144374,-0.8516,"4",0.107955998879446,-0.478939910038147,"Low","Medium"
"75",2022-05-12,"United Kingdom",0.215577667855363,0.501946213729653,-1.7408,"3",0.843907104244502,0.668315537525591,"High","Low"
"76",2022-05-12,"United States",0.679203573756662,-0.00619249823071478,0.0928,"1",0.182821619185996,-0.362233799936819,"Medium","High"
"77",2022-05-12,"Uruguay",0.0875666244871352,-0.283970276008493,-1.7036,"6",0.530571128753081,0.179864060002613,"Medium","Low"
"78",2022-05-12,"Venezuela",-0.3503719467771,-0.325725406935598,-1.1112,"2",0.169311592742581,-0.383294236317644,"Medium","Medium"
"79",2022-05-12,"Vietnam",-0.222840216265961,-0.320417551309271,-0.3704,"2",-0.047406661137167,-0.721130806624462,"Low","High"
